Treść,Kategoria
"Ojciec powiedział, że w Modlinie jest centrum szkolenia specjalistów czołgowych, i że z pewnością będę mógł tam wiele się nauczyć.",2
Pożegnałem się z rodzicami i siostrą.,2
Po raz pierwszy zobaczyłem stolicę Polski.,2
"Pierwsze, co zobaczyłem po wyjściu z dworca, to zburzone i spalone domy, olbrzymie gruzowisko.",2
Mieszkańcy miasta przemieszczali się z miejsca na miejsce pieszo wśród rumowisk.,4
Nasza grupa poborowych z porucznikiem Dupczakiem do Dworca Wschodniego poszła pieszo.,4
"Po porannej toalecie zjedliśmy śniadanie, a później cały dzień zszedł na umundurowaniu, kąpieli, strzyżeniu głowy do łysego i ewidencjonowaniu.",2
Ze strzelaniem dawałem sobie radę. Od początku miałem niezłe wyniki.,2
"Zbliżały się imieniny lub urodziny dowódcy pułku. Mój dowódca plutonu, który wiedział, że jestem ślusarzem, zapytał, czy mogę coś ciekawego wykonać na tę okazję.",2
W pociągu z Warszawy było bardzo tłoczno. Do samej Wrześni stałem na korytarzu przez sześć godzin.,2
Rodzice ucieszyli się z mojego przyjazdu.,2
Nasz porucznik zamieszkał u jednego z gospodarzy w sąsiedniej wiosce.,2
W sierpniu pułk przygotowywał się do wyjazdu na poligon.,4
"Rozlegał się głośny huk, a lufa armaty cofała się o 30cm.",3
Oglądałem te zawody z zainteresowaniem. ,2
" Poznawałem miasto i widziałem, jak bardzo zostało zniszczone.",2
"Zastanawiałem się, co będę robił dalej, nie miałem zamiaru wracać do Wrześni. ",2
"Będąc w Stanach, Yamamoto zainteresował się lotnictwem, a jako oficer marynarki interesował się zwłaszcza ideą połączenia okrętu z samolotem, czyli lotniskowcem.",2
"Japończykom udało się wówczas wynegocjować znaczne ustępstwa ze strony aliantów, które zakładały, że mogli oni posiadać taką samą liczbę okrętów podwodnych i lekkich krążowników co Wielka Brytania i USA.",4
"Zależało mu na powstrzymaniu budowy nowych pancerników gdyż uważał, że w warunkach nowoczesnej wojny morskiej okręty te będą nieprzydatne i łatwo ulegną atakom lotnictwa.",2
22 września 1940 r. francuski rząd Vichy po wielotygodniowych naciskach oddał Japończykom bazy wojskowe w Indochinach.,4
"27 września Japonia, wspólnie z Niemcami i Włochami, przystąpiła do Paktu Trzech, którego głównym celem było powstrzymanie Stanów Zjednoczonych przed przystąpieniem do wojny.",4
"Rankiem 7 grudnia 1941 r. japońska 1. Flota Powietrzna, będąca wówczas najpotężniejszym zespołem uderzeniowym floty na świecie, znienacka uderzyła na bazę US Navy w Pearl Harbor na Hawajach.",4
Po uderzeniu na Pearl Harbor Japonia zagarniała coraz to nowe terytoria przy dosyć biernym przeciwdziałaniu państw alianckich.,4
"Polacy przeszukują domy Volksdeutschów w poszukiwaniu broni, gdyż około godziny 10:30 ostrzelano tłum uchodźców, który przechodził przez centrum miasta ulicą Gdańską. ",4
"Deklaracja o niestosowaniu przemocy, zawarta pomiędzy Polską a Niemcami w 1934 roku, na krótko poprawiła stosunki między państwami i ich obywatelami.",3
"Należy tutaj wspomnieć, że większość bydgoszczan płynnie operowała językiem niemieckim i nie miała problemu z porozumiewaniem się z Volksdeutschami.",4
"Polacy mieli świadomość, że konfliktu zbrojnego nie da się już uniknąć, co można zauważyć w prasie pochodzącej z tamtego okresu, warto przedstawić nagłówek z pierwszej strony Dziennika Bydgoskiego z 1 września 1939 roku, który wyrażał gotowość do walki: „Czekamy z palcem na cynglu”.",4
"1 września 1939 roku oddziałom polskim nie udało się obronić Borów Tucholskich, przez które z łatwością przedarły się niemieckie czołgi pod dowództwem generała H. Guderiana.",4
"Wśród żołnierzy polskich wybuchła panika, zaczęli przemieszczać się w kierunku Bydgoszczy.",4
"Wieści te spowodowały, że ludność cywilna dowodzona przez porucznika rezerwy Stanisława Pałaszewskiego w niedzielę, 3 września 1939 roku zaczęła przygotowywać się do obrony. ",4
"Ulicą Gdańską przemieszczali się uciekinierzy z miasta, mieli ze sobą dobytek, który byli w stanie unieść.",4
Transportowano także ciągnięte przez konie armaty.,4
Jedna z takich armat była właśnie przyczyną całego zmieszania – gdy z głuchym dudnieniem spadła na brukowaną powierzchnię.,3
 W reakcji na takie okrzyki cywilni obrońcy miasta rozpoczęli strzelaninę. ,4
"Major Albrycht, którego wezwano, aby przyjrzał się sytuacji, zobaczył leżące obok kościoła Klarysek (skrzyżowanie ul. Gdańskiej z Jagiellońską i pl. Teatralnym) zwłoki pięciu osób.",2
"Cywilni obrońcy miasta strzelali do tłumu uchodźców, wśród których znajdowali się żołnierze z rozbitych jednostek Wojska Polskiego.",4
" Dopiero około godziny 12:00 na miejsce wydarzeń dotarły pierwsze patrole wojskowe, tworzyły się także samozwańcze patrole z żołnierzy będących w tłumie poruszających się ul. Gdańską i ludności cywilnej.",4
"W 1945 radzieckie wojska wkroczyły do Rumunii, zajmując całe jej terytorium, lecz rumuńska flota wciąż pozostawała aktywna.",4
"Młodzi członkowie załogi byli przekonani, że statek jest bardzo wytrzymały i w razie bombardowania powinni schronić się pod pokładem. ",4
"Gdy po raz pierwszy zobaczyli, jak pocisk uderza w kadłub i powoduje wybuch całego statku, uznali, że bardziej sensowne jest pozostanie na pokładzie i wyskoczenie za burtę tuż przed uderzeniem pocisku.",4
"Bombowce z czarnymi krzyżami pojawiały się tam regularnie, ale w czwartkowy wieczór 24 października 1940 roku, gdy bitwa w jej najintensywniejszej postaci miała się już ku końcowi, na niebie pojawiło się coś nowego – samoloty Corpo Aereo Italiano.",3
Pierwsze samoloty wystartowały z belgijskiego Melsbroek około godziny 20.30.,3
Jeden z bombowców już kilka minut po starcie z niewiadomego powodu – prawdopodobnie zawiniła awaria silnika – runął w dół i rozbił się na przykościelnym cmentarzu w wiosce Houtem.,3
Około godziny po katastrofie Paganiego maszyny Corpo Aereo Italiano nadlatywały nad Harwich na pułapie 5000–5500 metrów.,3
"Przeszkodziło mu nie tylko zaciemnienie, którego oczywiście się spodziewał, ale też gęsta mgła, przez którą nie był w stanie stwierdzić, gdzie kończy się morze i zaczyna ląd.",2
"Efekt był taki, że bombowce przeleciały nad miastem i prawdopodobnie większość zrzuciła bomby na rozległe pola między wsiami Trimley (na północ od Harwich) i Walton-on-the-Naze (na południe).",3
Rankiem 25 październik włoskie rozgłośnie radiowe i gazety przechwalały się wkładem Regia Aeronautica w bitwę o Wielką Brytanię.,3
Włosi zrzucili czterdzieści cztery bomby i bomby oświetlające na spadochronach.,4
"Sześć bombowców z 43. Eskadry bezpiecznie dotarło nad Anglię i bezpiecznie wróciło na swoją stronę Kanału, lecz z powodu błędów nawigacyjnych bomby ponownie spadły na pola uprawne, tym razem na półwyspie Shotley.",3
"Pojedynczy Bristol Blenheim ze 107. Eskadry zrzucił z około trzydziestu metrów cztery bomby o wagomiarze 113 kilogramów i odleciał nieniepokojony ani przez lotnictwo, ani przez obronę przeciwlotniczą.",3
Jego i innych ukrywających się znaleźli granatowi policjanci i zaprowadzili na Dworzec Wschodni. ,4
" Po kilku dniach Niemcy nakazali wejść ludziom do wagonów transportowych mówiąc, że jadą do Torunia kopać okopy. ",4
"W Toruniu transport przejęli SS-mani, którzy zdecydowali, że pradziadek i jego towarzysze pojadą dalej, na Pomorze. W Gdańsku przesiedli się do kolejki wąskotorowej i dojechali do obozu koncentracyjnego Stutthof.",4
"Po przyjeździe kazali nam prędko wychodzić z wagonów i pogonili nas do głównej bramy, za którą stali kapo z pałkami. Bili kogo popadli.",4
Niemcy kazali na placu apelowym ustawić choinkę i obwiesić elektrycznymi żarówkami. ,4
" Gdy Niemcy zauważyli, że ktoś nie pracuje, zapisywali numer i na apelu taki więzień otrzymywał 25 albo 50 batów na gołą dupę.",4
W styczniu alianci przeprowadzili jeden z poważniejszych nalotów na fabrykę benzyny syntetycznej.,4
"W lutym 1945 r., kiedy Rosjanie zbliżali się do obozu Niemcy zarządzili selekcje więźniów.",4
" Po selekcji i wywózce jednej z grup, Niemcy przed ewakuacją nakazali sprzątać obóz.",4
" Niemcy pędzili nas szosą, na której spotykaliśmy innych ewakuowanych z obozów.",4
"Wieczorem przyszli Rosjanie, oficer i kilku żołnierzy, i kazali nam szykować się do wymarszu.",4
" Za rzeką znaleźliśmy porzucony wóz i konia, dzięki czemu dojechaliśmy do Stargardu.",2
"Na pociąg czekaliśmy dwa dni, śpiąc na dworcu.",2
"Wszystko to obserwowali zachodni attache wojskowi, wśród nich m.in. generał Archibald Wavell.",2
Wtedy to Sztab Główny Wojska Polskiego podjął decyzję o wprowadzeniu szkolenia spadochronowego do naszej armii.,4
"W czasie tego kursu doszło do wypadku śmiertelnego, kiedy to jeden z podchorążych podczas skoku z balonu na uwięzi stracił przytomność, nie wyrwał uchwytu wyzwalającego spadochron i spadł z wysokości 550 metrów.",2
Spadochroniarze skakali z bronią wyposażeniem osobistym.,4
Kursanci oddali także po kilka skoków spadochronowych z samolotów RWD-8 i Fokker F-VII. ,4
"Pod osłoną nocy spadochroniarze zniszczyli dwa mosty i wiadukt kolejowy w rejonie miejscowości Połonka i Góra Połonka (saperzy podłożyli co prawda ładunki wybuchowe, lecz zniszczenia były umowne).",4
"O godzinie 5.00 oddział dotarł do Łucka, gdzie znajdowało się kierownictwo ćwiczeń. ",4
"Po wylądowaniu oddział ukrył spadochrony na skraju pobliskiego lasu, pod osłoną piechurów saperzy zniszczyli mały wiadukt kolejowy, a następnie, biegnąc szybko, odcinkami 300 metrów toru kolejowego, łącznościowcy zniszczyli napowietrzną linię telegraficzną.",4
Mimo chwilowego zaskoczenia żołnierze odpowiedzieli ogniem i wkrótce odtrąbiono koniec ćwiczeń.,4
Rankiem 1 września lotnisko w Małaszewiczach zostało zbombardowane przez Luftwaffe. ,4
"Aby pomóc będącym w bardzo ciężkim położeniu obrońcom Starówki, dowództwo powstania podjęło próby odblokowania tej dzielnicy.",4
" O godzinie 1:00 już 21 sierpnia do natarcia ruszyło na głównym kierunku około 750 powstańców przybyłych ostatnio z Puszczy Kampinoskiej, zorganizowanych w 7 kompaniach pod ogólnym dowództwem mjr „Okonia„ A. Kotowskiego.",4
"Zaraz jednak przed atakującymi polskimi oddziałami pojawił się niemiecki pociąg pancerny, który gęstym ogniem powstrzymał powstańców, zadając im ciężkie straty.",3
Dopiero około godziny 4:30 oddziały Starówki wyruszyły do walki.,4
"Wobec coraz większych strat powstańcy wycofali się do kanału, by odejść już potem bezpośrednio pod ziemią na Śródmieście. ",4
"Niektórzy dowódcy pogubili się, a oddziały nie mogły dotrzeć na czas na wyznaczone pozycje.",4
"Kiedy się ściemniło, zdejmując powstańcze opaski oddział przeszedł przez Ogród Saski pozorując oddział niemiecki i dość szczęśliwie dotarł do swoich na Śródmieściu.",4
Gdy ludność otrząsnęła się po pierwszych kilku akcjach zaczęła czynnie przeciwstawiać się okupantom.,4
" Cywile uciekali ze wsi gdy spodziewali się, że wkrótce mogą przybyć Niemcy, aby ich rugować z ziem.",4
"A partyzanci walczyli z oddziałami mającymi te wysiedlenie przeprowadzać, a także utrudniali osadnictwo przybyłych kolonistów.",4
Niemcy liczyli na szybkie przeprowadzenie akcji wysiedleńczych. W niektórych miejscach zaraz po wysiedleniu wiosek wprowadzali nowych osadników. ,4
"Główny Urząd Bezpieczeństwa Rzeszy 26 października 1942 roku ustalił, że co tydzień z Zamościa miały odjeżdżać trzy pociągi do Oświęcimia oraz dwa pociągi do Berlina/",4
Gdy Polacy zdali sobie sprawę z zagrożenia wynikającego z akcji wysiedleńczej zaczęli masowo uciekać z domów i ukrywać się.,4
uż pod koniec grudnia 1942 oddziały Armii Krajowej oraz Batalionów Chłopskich atakowały nowo skolonizowane wsie oraz mniejsze oddziały niemieckie wyznaczone do rugowania Polaków .,4
"W ciągu tych kilku tygodni, tj. od marca do końca czerwca Niemcy zebrali liczne oddziały SS, policji, żandarmerii a nawet wojska w celu pacyfikacji oddziałów partyzanckich na terenach Zamojszczyzny, a potem całej Lubelszczyzny.",4
"Na początku miejscowość została otoczona przez hitlerowców, a następnie zbombardowana przez lotnictwo niemieckie, wszyscy którzy próbowali uciec zostali zabijani.",4
"W odwecie partyzanci zaatakowali i spacyfikowali wieś Siedliska, także ostatnio wysiedloną i skolonizowana przez osadników niemieckich.",4
W wyniku tej akcji władze hitlerowskie wydały specjalną odezwę do mieszkańców.,4
"Oprócz akcji militarnych Niemcy stosowali również innej represje wobec ludności polskiej. Zakazano, bez specjalnego zezwolenia policyjnego, używania publicznych środków komunikacji, takich jak koleje i samochody.",4
" Propaganda niemiecka głosiła, że ludność polską, żyjącą na tych terenach z rabunku i bandytyzmu należy usunąć.",4
W tym terenie partyzanci bronili się bardzo skutecznie i zadawali duże straty hitlerowcom.,4
"Mimo, iż kolejna fala wysiedleń była nieuchronna to i tak została przeprowadzona przez Niemców z dość dużym zaskoczeniem. ",4
Ludzie nocowali pod gołym niebem. ,4
"Tym razem Niemcy byli na tyle zdeterminowani, aby doprowadzić swoją akcję do skutku, iż nawet przygotowali zaplecze naukowe, które miałoby pomóc przyszłym osadników niemieckich.",4
"W niektórych wioskach nasiedleńcy starali się współpracować z miejscową ludnością, jednakże nie były to przypadki częste.",4
"O godne traktowanie swoich współrodaków walczyła Rada Główna Opiekuńcza. Przez swoje delegatury mogła na bieżąco kontrolować sytuacje na terenach dotkniętych przesiedleniami i wspomagać ludność, cierpiącą z ich powodu.",4
Aby osiągnąć założono cele przedstawiciele RGO nie wahali się nawet rozmawiać z generałem gubernatorem GG Hansem Frankiem.,4
"5 sierpnia oddział SS wkroczył do tej wsi. Kazano wszystkim zebrać się na placu, na miejscu rozstrzelano ok.  40 osób, reszta została ujęta i zabrana do Zamościa.",4
"Mimo, że do miasta powoli wracali ludzi, którzy byli uwięzieni w obozach i mieli to szczęście, że nie zostali jeszcze wysłani do pracy do Niemiec, to wśród ludności panował wciąż nastrój przygnębienia.",4
Wiele osób wolało pójść „do lasu” aniżeli dobrowolnie poddać się Niemcom i mieć nadzieje na łagodniejsze traktowanie.,4
"W drugiej połowie lipca hitlerowcy zaprzestali praktycznie atakowania oddziałów partyzanckich ukrywających się w lasach, bo przynosiło to zbyt duże straty. ",4
"Za to Polacy nie bali się atakować oddziałów niemieckich, które wywoziły mieszkańców wsi. Dzięki takim akcjom udało się uratować sporą cześć ludności polskiej. ",4
"W ten sposób Stalin zauważył, że gdy nawet odmówi Brytyjczykom, co też się stało, będzie on miał alternatywę wobec nieudanej rozgrywki pseudo sojuszniczej z narodowymi socjalistami z Niemiec.",2
"Niemcy wtenczas wchłonęły już Czechosłowację i głośno dopominały się od Polski (od października 1938 r.) zgody na aneksję Gdańska do Rzeszy, zbudowania eksterytorialnej autostrady i linii kolejowej.",4
"„Zawodowy rewolucjonista”, jak niektórzy określają Stalina, wiedział, że dokonane przez niego czystki mogą się zemścić w momencie gdy Hitler zrealizuje swoje dalsze rewizjonistyczne plany.",2
"Stalin zamknął się w swym gabinecie na Kremlu, doznając swego rodzaju szoku.",2
"Przed wydaniem dekretu o przymusowej pracy władze niemieckie przeprowadziły spis ludności żydowskiej, celem którego było ukazanie orientacji co do możliwości wykorzystania jej jako taniej i darmowej siły roboczej.",4
"Do dramatycznych wydarzeń doszło 17 września 1942 r., kiedy grupa więźniów próbowała ucieczki. W strzelaninie rozpoczętej przez strażników niemieckich zginęło kilku więźniów a kilkunastu zostało rannych.",4
"Jak się później okazało wielu Żydów zgłaszało się dobrowolnie wiedząc, że te małe sumy są dla nich jedynym źródłem utrzymania.",4
Oprócz tego Wermacht w dalszym ciągu łapał Żydów na własną rękę.,4
" Ponadto wkrótce z powodu braku rąk do pracy Niemcy zaczęli żądać od Rady Żydowskiej dostarczania większego kontyngentu kobiet zdolnych do pracy, które musiały przepracowywać jeden dzień w tygodniu.",4
" Rada Żydowska z kolei cały czas przypominała o karach za niewstawienie się do pracy, wyraźnie podkreślając, że niewykluczone są ofiary w ludziach.",4
"Warunki pracy w Bełżcu, w porównaniu do innych tego typu miejsca nie były tragiczne, głownie za sprawą Rady Żydowskiej, która delegowała do opieki nad więźniami dwóch sanitariuszy i trzech urzędników.",4
Rok później Niemcy przystąpili do budowy obozu zagłady.,4
Władze niemieckie starały się stworzyć w obozie pewnie struktury hierarchii.,4
"Władze niemieckie zorganizowały w obozie specjalną sortownię, zaopatrzoną w długie stoły, na których wydobywano kosztowności z ubrań pomordowanych Żydów.",4
"Historia Żydów na terenie Lubelszczyzny w okresie okupacji niemieckiej znajduje swój punkt kulminacyjny 3 listopada 1943 r., kiedy to w ramach tzw. Akcji Dożynki funkcjonariusze Waffen SS oraz policji bezpieczeństwa wymordowali ponad osiemnaście tysięcy więźniów ulokowanych na terenie obozu na Majdanku.",4
Warszawa podczas drugiej wojny światowej pięć razy obchodziła święta Bożego Narodzenia.,4
"Wigilię 1944 r. warszawiacy obchodzili więc z dala od miasta, z dala od swoich bliskich - o ile ci jeszcze żyli - i w bardzo ponurych nastrojach.",4
"Niemieckie zarządzenia związane z godziną policyjną spowodowały również, że pasterki odbyły się w poniedziałek 25 grudnia nad ranem.",3
"Na parę dni przed świętami, ktoś dzwoni do drzwi, otwieramy, a w drzwiach stoi, jak święty Mikołaj, starszy brat mojej mamy, wuj Staś Kowalski, w kożuchu, filcowych butach i futrzanej czapie na głowie.",2
"Z kolei w nocy z 26 na 27 grudnia w podwarszawskim Wawrze Niemcy w odwecie za śmierć dwóch podoficerów niemieckich, którzy zostali zabici przez zwyczajnych bandytów, rozstrzelali 106 mężczyzn.",4
"Prasa podziemna wspominała zbrodnię w Wawrze, a jednocześnie życzyła wszystkim Polakom, aby kolejne święta spędzili już w wolnej Ojczyźnie.",3
Rok później w Wigilię wieczorem spadł deszcz - w nocy z kolei miała miejsce zamieć śnieżna.,3
"Ludzie czas po zmierzchu spędzali przy świecach, co było spowodowane problemami z dostawą prądu.",4
"Przy Pawiej 60 w getcie zawaliła się jedna ściana, w wyniku czego śmierć poniosły dwie osoby.",3
"Andrzej Świętochowski święta spędził w Podębiu, gdzie minęły mu one spokojnie i dostatnio, wszędzie naokoło były głód i śmierć, a tu nie odczuwało się tego zupełnie, a może właśnie, prawem kontrastu, wszystko wydawało się tu cudowne.",2
"Kina działały w dni świąteczne, dając po trzy seanse.",3
Prasa pisała o rozdwojonych uczuciach i myślach.,3
"Hanna Karkowska podczas wojny miała zaledwie kilka lat. Boże Narodzenie w 1942 r. spędzała bez ojca, który został aresztowany wiosną przez Niemców i wywieziony do Oświęcimia.",2
"Po latach wspominała, jak ucieszyła się z choinki, którą przywiózł przyjaciel rodziny.",2
"Andrzej Świętochowski, wówczas już żołnierz Armii Krajowej, ponownie spędził święta w Podębiu.",2
"Wiele osób żyło samotnie. Zapraszano je więc do większego grona, aby w tym wyjątkowo trudnym czasie przynajmniej ten jeden dzień w roku mogły poczuć się lepiej.",4
Od samego początku okupacji Niemcy na zajętym przez siebie terenie postanowili zastraszyć Polaków poprzez stosowanie najróżniejszych metod terroru.,4
Dokument ten dawał niemieckim funkcjonariuszom prawo do w zasadzie swobodnego wymierzania kary śmierci.,3
Niemcy zaczęli przygotowywać warszawskie więzienia do przyjęcia nowej fali więźniów.,4
Niemal codziennie na ulice Warszawy wyjeżdżały „budy” niemieckie.,3
"Ludzie starali się wzajemnie ostrzegać na ulicach, każda najmniejsza anomalia w najbliższym otoczeniu mogła być sygnałem do ucieczki. ",4
Niemcy nie ograniczali się jedynie do łapanek. Zaczęli również urządzać publiczne egzekucje.,4
W tej sytuacji Kierownictwo Walki Podziemnej postanowiło odpowiedzieć na poczynania okupanta. Jedną z metod stały się uderzenia na „budy” żandarmów.,4
KeDyw Okręgu Warszawa AK zaangażował się w akcję od samego początku.,4
I tak w dniu 22 października na Nowym Świecie między ulicą Świętokrzyską a Ordynacką ustawił się oddział z Grupy „Kosy”. ,4
"Zdawał sobie bowiem sprawę z tego, że jeśli akcja nie powiedzie się, to będą musieli powtarzać ją aż do skutku, a Niemcy ten konkretny punkt będą już mieli pod baczniejszą obserwacją.",2
"Poszczególne sekcje bardzo szybko znalazły się w swoich „melinach” na Powiślu, gdzie miały przeczekać ten najbardziej gorący czas po akcji.",4
"Chociaż okupant nie miał pojęcia, kto wpadł w jego ręce, to jednak w podziemiu zdawano sobie sprawę, że każda akcja może spowodować, że Niemcy w ramach odwetu przyspieszą egzekucję, w której „Chuchro” zginie.",4
"Z uwagi na padający delikatny deszczyk żołnierze pochowali się, byle tylko nie zmoknąć i... nie zwracać na siebie uwagi.",4
"Zbigniew Młynarski jeszcze wiele lat po wojnie nie chciał uwierzyć w to, że ktoś mógł tak dobrze zapamiętać jego twarz",2
"Dokładnie o 9:10 zobaczył, że ludzie gdzieś w głębi ulicy uciekają przed czymś.",2
Na ulicę zaczęły lecieć granaty i filipinki.,3
"Konwój zatrzymał się, odpowiadając ogniem na atak. ",4
"Kiedy udało już się ewakuować ich z miejsca walki reszta skokami oderwała się od Niemców i bocznymi uliczkami zaczęła uciekać w stronę swoich „melin”, gdzie tak jak w październiku chcieli przeczekać pierwsze godziny po akcji.",4
Dokładnie o 9:10 z Wybrzeża Kościuszkowskiego w stronę wylotu mostu podjechały dwie „budy”.,3
"Zatrzymały się, po czym wysiedli z nich Niemcy, którzy rozpoczęli łapankę.",4
"Sytuację utrudniali ludzie, którzy wyskakiwali z ciężarówki aby uciec jak najdalej.",4
W rejonie placu Trzech Krzyży nad ranem zebrała się grupa z batalionu „Chwackiego”.,4
"Oddział czekał na ciężarówki w rejonie Ząbkowskiej i Brzeskiej ponad dwie godziny, co było czasem zdecydowanie za długim.",4
" Niemcy ściągali coraz to większe posiłki, jednak ludzie „Sternika” jakoś zdołali utrzymać ich na dystans, a w końcu rozpierzchli się między domami szukając schronienia przed pościgiem.",4
"Wtedy to na ulice miasta wyszło łącznie około 90 żołnierzy konspiracji, którzy oczekiwali na Niemców w aż ośmiu punktach.",4
Jedną z tych akcji przygotowywał oddział z batalionu saperów.,4
"Niemcy jednak zachowali się najlepiej jak tylko było można. Od razu odpowiedzieli ogniem ze swojej broni, a kierowcy nie spanikowali tylko błyskawicznie dodali gazu i uciekli z zagrożonego rejonu.",4
" Już o godzinie 6:00 rano cała piątka zebrała się, aby o 6:20 rozpocząć patrolowanie ulicy ",4
"Miał on zamontowany kaem, jednak ostrzał Polaków był na tyle mocny, że Niemcy nawet nie próbowali strzelać z wykorzystaniem przyrządów celowniczych, ale „walili” na oślep.",4
W pewnym momencie tuż obok ciężarówki na ulicę padł „Wojtek”.,2
"Był jednak ciężko ranny. W takim stanie Niemcy zabrali go do szpitala, skąd po podleczeniu trafił do więzienia.",4
"Zachowało się do dzisiaj kilka jego grypsów, które pisał do dziewczyny i rodziny. W jednym z nich przyznał, że jest przekonany, iż niedługo zginie.",2
"Oczywiście Niemcy wykorzystywali każdą okazję do tego, aby usprawiedliwić swoje poczynania.",4
Poprzez swój terror Niemcy mieli nadzieję na złamanie oporu polskiego społeczeństwa. ,4
Oddział zaczął zbierać się na koncentrację już w dniu 27 lipca.,4
"Henryk Witkowski przypuszczał po wojnie, że „Monter” chciał swój Oddział Osłony zebrać odpowiednio wcześniej, aby mieć go w razie czego do dyspozycji.",2
"Będąc po zdaniu matury w połowie lipca w Warszawie, odpoczywałem w Świdrze pod Warszawą w naszym letnim domu i tam zostałem osobiście zawiadomiony przez gońca, przez jedną z koleżanek, że [jest] rozkaz zgrupowania 24 lipca i oczekiwania na dalszy ciąg dziejów naszych.",2
Mój pluton miał za zadanie zdobycie skrzyżowania Świętokrzyskiej i Jasnej - co zrobiliśmy.,4
"Choć początek walk był przewidziany na godzinę 17, to już mniej więcej pół godziny wcześniej „Kosa” razem ze swoimi żołnierzami ruszył do walki.",4
Za mną biegł pluton ‚Kruka’ z zadaniem opanowania skrzyżowania ze Świętokrzyską do czasu nadejścia plutonu ‚Chmury’.,4
Dobiegając do rogu Jasnej i Świętokrzyskiej na schodkach przed głównym wejściem do budynku PKO spotkałem biegnącego w tylnym ubezpieczeniu ‚Wawrka’ z plutonu ‚Kreta’.,2
Po krótkim starciu Niemcy poddali się.,4
"Wysłany przez niego oddział przez strych dostał się do budynku zajmowanego przez nieprzyjaciela, po czym zlikwidował go w zaledwie kilka minut.",4
"Grupa dowodzona przez „Borutę” najpierw prowadziła wsparcie ogniowe dla głównych sił, a następnie brała udział w obrzucaniu gmachu butelkami zapalającymi.",4
"Niestety, zbyt silny ostrzał, prowadzony przez Niemców od strony placu Piłsudskiego i Uniwersytetu Warszawskiego, zmusił całą trójkę do wycofania się, zanim wykonali zadanie.",4
Ale już o 16:30 ponownie „Boruta” ze swoimi ludźmi musieli wrócić do walki.,4
Po upadku Powiśla na początku września Niemcy swój wysiłek skierowali na Śródmieście Północne.,4
"W pewnej chwili spojrzałam na koleżanki i na siebie — zrozumiałam, że w ciągu dwudziestu czterech godzin upodobniono nas do zwierząt.",2
SS-manów bawiła ludzka krzywda. Sprawiało im wiele satysfakcji poniżanie więźniów. Stosowali rozmaite środki publicznego pośmiewiska.,4
"Miałem wtedy osiemnaście lat, byłem sparaliżowany strachem i poczuciem bezrad­ności.",2
"Pięć tysięcy mężczyzn stało na baczność, żaden z nas się nie ruszył, żaden nie krzyknął - a działo się to w od­ległości kilkudziesięciu metrów, na naszych oczach.",4
"Tam - przynajmniej w latach 1908-1909 - mieszkał Józef Wiwatowski, ojciec Tadeusza. ",2
Zmęczony szedł spać.,2
"Zdawał sobie sprawę z tego, że Rosjanie nie przyjdą Warszawie z pomocą.",2
"Wiedział, że uzbrojenie AK w Warszawie jest niewystarczające do tego, aby móc realnie myśleć o podejmowaniu wyrównanej walki z Niemcami.",2
Na Stawki wrócił jeszcze raz.,2
"Niemcy nie mieli zamiaru opuszczania miasta, a wręcz przeciwnie, postanowili zdławić Powstanie.",4
Niemcy przemieszczając się wzdłuż ulic Wolskiej i Górczewskiej oprócz wypierania Powstańców z ich stanowisk obronnych systematycznie realizowali rozkaz dt. wymordowania wszystkich mieszkańców.,4
"O godz. 4, min. 30 Niemcy szykowali granaty na ul. Wolskiej.",4
"W nocy z 1. na 2. VIII Polacy... zbudowali dużą barykadę, sięgającą pierwszego piętra, wszerz ul. Wolskiej do Młynarskiej z wagonów tramwajowych, belek. ",4
"Niemcy starają się przebić barykady, podjeżdżając do nich czołgami.",4
".Od tej pory Niemcy usuwają ludność i palą domy od Woli, tj. od cmentarza katolickiego do Młynarskiej.",4
"Ja byłam na końcu, bezpośrednio przy lufie „rozpylacza”, spodziewałam się, że to są moje ostatnie chwile; byłam zrezygnowana zupełnie, ale i spokojna.",2
"Spojrzałam na twarze kobiet skupione, opanowane, następnie zawróciłam wzrok na Niemców za nami stojących.",2
"Leżałem w schronie, w piwnicy razem z wieloma rannymi i chorymi.",2
"Widziałem to wszystko dobrze, bo byłem do następnego dnia rano w niemieckim punkcie sanitarnym, znajdującym się w pobliżu.",2
Dnia 5 sierpnia 1944 r. przy ul. Staszica nr. 4 wraz z mieszkańcami domu siedziałem w piwnicach.,2
W pewnym momencie wpadli Niemcy i wypędzono nas.,4
"W podwórzu szpitala znajdowały się budynki-szopy, z których w pewnym momencie Niemcy zaczęli wypędzać zgromadzonych tam ludzi.",4
"Była to druga egzekucja, którą tego dnia widziałem.",2
"Niemcy otaczają kamienicę, wydają rozkaz opuszczenia mieszkań; straszny krzyk dzieci, kobiet, u wyjścia padają strzały - kilka osób zabitych i rannych już przy wyjściu na ulicę.",4
"Po pewnym czasie ocknęłam się; słyszę, jak dobijają rannych.",2
Dnia 5 sierpnia 1944 r. około godz. 14 do Szpitala Wolskiego przy ulicy Płockiej wpadli Niemcy.,4
"Samej egzekucji nie widziałem, słyszałem tylko serie strzałów egzekucyjnych.",2
"Widziałem, jak w ostatniej grupie prowadzono prof. Grzybowskiego, dra Drozdowskiego, prof. Sokołowskiego i dra Łempickiego.",2
